,$,def,id,(,),id(,{,},int,",",;,=,print,return,if,else,<,>,==,+,-,*,num
MAIN,MAIN -> ε,MAIN -> FLIST,MAIN -> STMT,,,,MAIN -> STMT,,MAIN -> STMT,,MAIN -> STMT,,MAIN -> STMT,MAIN -> STMT,MAIN -> STMT,,,,,,,,
FLIST,,FLIST -> FDEF FLIST2,,,,,,,,,,,,,,,,,,,,,
FLIST 2,FLIST2 -> ε,FLIST2 -> FDEF FLIST2,,,,,,,,,,,,,,,,,,,,,
FDEF,,FDEF -> def id(PARLIST){STMTLIST},,,,,,,,,,,,,,,,,,,,,
PARLIST,,,,,PARLIST -> ε,,,,PARLIST -> int id PARLIST2,,,,,,,,,,,,,,
PARLIST 2,,,,,PARLIST2 -> ε,,,,,"PARLIST2 -> , PARLIST2",,,,,,,,,,,,,
STMT,,,STMT -> ATRIBST;,,,,STMT -> {STMTLIST},,STMT -> int id;,,STMT -> ;,,STMT -> PRINTST;,STMT -> RETURNST;,STMT -> IFSTMT,,,,,,,,
ATRIBST,,,ATRIBST -> id = ATRIBST2,,,,,,,,,,,,,,,,,,,,
ATRIBST 2,,,ATRIBST2 -> EXPR,ATRIBST2 -> EXPR,,ATRIBST2 -> FCALL,,,,,,,,,,,,,,,,,ATRIBST2 -> EXPR
FCALL,,,,,,FCALL -> id(PARLISTCALL),,,,,,,,,,,,,,,,,
PARLISTCALL,,,PARLISTCALL -> id PARLISTCALL2,,PARLISTCALL -> ε,,,,,,,,,,,,,,,,,,
PARLISTCALL 2,,,,,PARLISTCALL2 -> ε,,,,,"PARLISTCALL2 -> , PARLISTCALL2",,,,,,,,,,,,,
PRINTST,,,,,,,,,,,,,PRINTST -> print EXPR,,,,,,,,,,
RETURNST,,,,,,,,,,,,,,RETURNST -> return,,,,,,,,,
IFSTMT,,,,,,,,,,,,,,,"IFSTMT -> if(EXPR) STMT else STMT
IFSTMT -> if(EXPR) STMT",,,,,,,,
STMTLIST,,,STMTLIST -> STMT STMTLIST2,,,,STMTLIST -> STMT STMTLIST2,,STMTLIST -> STMT STMTLIST2,,STMTLIST -> STMT STMTLIST2,,STMTLIST -> STMT STMTLIST2,STMTLIST -> STMT STMTLIST2,STMTLIST -> STMT STMTLIST2,,,,,,,,
STMTLIST 2,,,STMTLIST2 -> STMT STMTLIST2,,,,STMTLIST2 -> STMT STMTLIST2,STMTLIST2 -> ε,STMTLIST2 -> STMT STMTLIST2,,STMTLIST2 -> STMT STMTLIST2,,STMTLIST2 -> STMT STMTLIST2,STMTLIST2 -> STMT STMTLIST2,STMTLIST2 -> STMT STMTLIST2,,,,,,,,
EXPR,,,EXPR -> NUMEXPR EXPR2,EXPR -> NUMEXPR EXPR2,,,,,,,,,,,,,,,,,,,EXPR -> NUMEXPR EXPR2
EXPR 2,,,,,EXPR2-> ε,,,,,,EXPR2-> ε,,,,,,EXPR2-> < NUMEXPR,EXPR2-> > NUMEXPR,EXPR2-> == NUMEXPR,,,,
NUMEXPR,,,NUMEXPR -> TERM NUMEXPR2,NUMEXPR -> TERM NUMEXPR2,,,,,,,,,,,,,,,,,,,NUMEXPR -> TERM NUMEXPR2
NUMEXPR 2,,,,,NUMEXPR2 -> ε,,,,,,NUMEXPR2 -> ε,,,,,,NUMEXPR2 -> ε,NUMEXPR2 -> ε,NUMEXPR2 -> ε,NUMEXPR2 -> + TERM NUMEXPR2,NUMEXPR2 -> - TERM NUMEXPR2,,
TERM,,,TERM -> FACTOR TERM2,TERM -> FACTOR TERM2,,,,,,,,,,,,,,,,,,,TERM -> FACTOR TERM2
TERM 2,,,,,TERM2 -> ε,,,,,,TERM2 -> ε,,,,,,TERM2 -> ε,TERM2 -> ε,TERM2 -> ε,TERM2 -> ε,TERM2 -> ε,TERM2 -> *FACTOR TERM2,
FACTOR,,,FACTOR -> id,FACTOR -> (NUMEXPR),,,,,,,,,,,,,,,,,,,FACTOR -> num